iter	trueRelRes	gradProxy
80	0.0003044711241210214	1348.546492070906
160	0.0001208445621615981	1934.835293783875
240	4.918224876511395e-05	2143.989865266187
320	1.904828901868032e-05	2207.383748453733
400	5.457861957710095e-06	2216.8442268372
480	1.427749060668998e-06	2217.375969858271
560	2.804992209626096e-07	2217.448694912374
640	2.068064359480637e-08	2217.477537494109
720	2.560259980950299e-09	2217.479961241232
751	9.489195988547134e-10	2217.48004322662
751	9.489195988547134e-10	2217.48004322662
