iter	trueRelRes	gradProxy
80	0.002320795604501739	-220161.9049947708
160	0.001151724468328238	-217367.4481771828
240	0.0005901563904027567	-211376.4934543222
320	0.0002615234185708371	-207300.438577599
400	0.0001044893929639037	-205666.0277467052
480	3.874011302719121e-05	-205223.7295467663
560	8.411854830428155e-06	-205190.7001861714
640	6.338394142083524e-07	-205193.9362144701
720	9.317265574039915e-08	-205194.1404219658
800	1.008268761428303e-08	-205194.1439237987
880	1.444548836198837e-09	-205194.1412195139
902	9.928181394008868e-10	-205194.1411241191
902	9.928181394008868e-10	-205194.1411241191
