iter	trueRelRes	gradProxy
80	0.0003044732674415236	1348.761475647233
160	0.0001207207356547076	1935.184671510509
240	4.906595736647247e-05	2144.254345502982
320	1.900534201847395e-05	2207.430756062971
400	5.44144379993776e-06	2216.852781988884
480	1.423594545668082e-06	2217.375522606083
560	2.778212870151714e-07	2217.449013747055
640	1.997929191961033e-08	2217.477651833517
720	2.45399789744636e-09	2217.479975450034
750	9.495681849198536e-10	2217.480043667746
750	9.495681849198536e-10	2217.480043667746
