Metric	Value
baselineJ	-1.16745040316938
baselinePD	48353.78151317623
baselinegDP	0.934151260527049
baselinegV	-7.887278274942844e-09
projJ_D1	-0.03748889519655058
projJ_D2	-0.02471897330036537
projJ_D3	-0.0127125209412884
projDP_D1	-5.405058716169706
projDP_D2	1.10592702024591
projDP_D3	14.04471433326105
projV_D1	0.1555186511144686
projV_D2	-0.08449667741658891
projV_D3	0.06396237684432686
D1_valid	1
D1_bestRelJ	2.141722173364679
D1_bestRelDP	0.5305398322020047
D1_bestRelV	1.583537545971946e-06
D1_signJ	0
D1_signDP	1
D1_signV	1
D1_plateauJ	1
D1_plateauDP	1
D1_plateauV	1
D1_passJ	0
D1_passDP	0
D1_passV	0
D2_valid	1
D2_bestRelJ	0.8542034254777005
D2_bestRelDP	0.5150075333020971
D2_bestRelV	3.601737027526519e-06
D2_signJ	1
D2_signDP	1
D2_signV	1
D2_plateauJ	1
D2_plateauDP	1
D2_plateauV	1
D2_passJ	0
D2_passDP	0
D2_passV	0
D3_valid	1
D3_bestRelJ	0.9773325813146353
D3_bestRelDP	0.5385682993742822
D3_bestRelV	6.82658565946652e-06
D3_signJ	1
D3_signDP	1
D3_signV	1
D3_plateauJ	1
D3_plateauDP	1
D3_plateauV	1
D3_passJ	0
D3_passDP	0
D3_passV	0
formalConvergenceOK	1
plateauOK	1
passJ	0
passDP	0
passV	0
status	FAIL
