iter	trueRelRes	gradProxy
80	0.0008714845160811473	-219142.5850687292
160	0.0003153670951185178	-221015.8962644679
240	0.0001231231634534295	-220216.3600892181
320	3.554317167614014e-05	-219831.7273658657
400	9.509664888128802e-06	-219739.9807838642
480	2.013237051643852e-06	-219717.5156984657
560	6.460738026529786e-08	-219717.0663790201
640	5.347616053176736e-09	-219717.0669389638
720	2.372784135442486e-10	-219717.0665332785
800	6.771064302748558e-12	-219717.0665208412
855	9.361480751106575e-13	-219717.0665214618
855	9.361480751106575e-13	-219717.0665214618
