iter	trueRelRes	gradProxy
80	0.0001144422114537455	290.8607044968978
160	4.45214650576354e-05	-36.57840734625299
240	1.85860044027301e-05	-219.9092760233004
320	7.507885778224924e-06	-291.9988003509227
400	2.693128781111641e-06	-316.5851539321657
480	7.693217996556311e-07	-323.9394326557722
560	4.818450174533495e-08	-323.8617359001468
640	4.574688054590296e-09	-323.8238935789557
720	3.008830569144352e-10	-323.8220764489158
800	1.766717464025517e-11	-323.8221191194157
880	1.663330648354933e-12	-323.8221295143675
894	9.821152169771544e-13	-323.8221296324728
894	9.821152169771544e-13	-323.8221296324728
